Episode,Frame,Avg Reward,Max Reward,Avg Q-value
14500,658339.0,43.0,52.0,1.8159153
14600,668177.0,52.0,81.0,1.8463906
14700,676185.0,58.4,72.0,1.8821204
14800,685867.0,63.0,80.0,1.935167
14900,693603.0,57.1,67.0,1.912465
15000,702607.0,63.5,78.0,1.9323698
15100,710460.0,44.1,52.0,1.9750094
15200,719864.0,100.4,199.0,1.8825004
15300,729469.0,56.8,64.0,1.9820884
15400,740435.0,54.7,69.0,1.9813838
15500,750705.0,65.2,78.0,2.0209155
15600,761980.0,70.0,74.0,2.0515897
15700,774158.0,59.4,77.0,2.0844636
15800,786623.0,59.5,69.0,2.1115158
15900,798274.0,68.5,81.0,2.1021707
16000,810733.0,59.4,66.0,2.1723104
16100,823813.0,67.0,80.0,2.201422
16200,835107.0,57.7,80.0,2.2044132
16300,847609.0,99.1,273.0,2.2079153
16400,859649.0,77.5,99.0,2.2265005
16500,871781.0,64.1,91.0,2.2638192
16600,884554.0,56.7,63.0,2.2693975
16700,899770.0,73.0,84.0,2.2653105
16800,914424.0,62.1,77.0,2.3089519
16900,927176.0,72.7,82.0,2.327179
17000,943823.0,56.4,94.0,2.3179173
17100,962826.0,67.0,75.0,2.3991208
17200,983543.0,61.5,72.0,2.445697
17300,1005158.0,94.9,101.0,2.5207226
17400,1027776.0,120.1,306.0,2.5007086
17500,1050173.0,60.0,95.0,2.6069496
17600,1074641.0,69.1,103.0,2.5823174
17700,1097673.0,64.0,98.0,2.6532962
17800,1122666.0,78.9,112.0,2.667425
17900,1147892.0,87.6,120.0,2.6994376
18000,1170351.0,124.6,161.0,2.7293072
18100,1194725.0,93.1,175.0,2.725401
18200,1217990.0,57.1,97.0,2.704494
18300,1241227.0,165.1,254.0,2.8684363
18400,1264388.0,191.1,319.0,2.9086826
18500,1290568.0,116.7,209.0,2.9476929
18600,1315119.0,151.6,211.0,2.9724007
18700,1340986.0,92.5,107.0,2.9155135
18800,1368035.0,178.6,278.0,3.1121817
18900,1393244.0,171.8,281.0,3.0902097
19000,1417853.0,173.1,297.0,3.2496457
19100,1444405.0,159.9,263.0,3.3495584
19200,1471251.0,247.3,304.0,3.6380465
19300,1494294.0,95.3,115.0,3.3048716
19400,1520530.0,232.8,299.0,3.7598684
19500,1545355.0,191.9,319.0,3.4975948
19600,1572564.0,197.7,293.0,3.9080935
19700,1600246.0,153.6,209.0,3.5292583
19800,1624676.0,250.5,320.0,3.8329406
19900,1648308.0,247.0,311.0,3.9444594
20000,1674652.0,112.4,205.0,3.9593508
20100,1700054.0,239.0,297.0,3.9943874
20200,1727777.0,108.5,294.0,3.6251378
20300,1755964.0,149.4,217.0,4.1941156
20400,1783063.0,61.0,150.0,3.556807
20500,1810046.0,277.2,312.0,4.279361
20600,1837410.0,185.9,239.0,4.5127296
20700,1864003.0,200.8,210.0,4.642667
20800,1888960.0,243.1,324.0,4.478413
20900,1913459.0,124.2,228.0,4.1136484
21000,1940096.0,250.1,311.0,4.4433866

21100,1968643.0,282.5,315.0,4.6411095
21200,1997623.0,274.7,335.0,4.423472
21300,2023251.0,145.9,287.0,4.564871
21400,2051129.0,275.6,353.0,4.717154
